asn,org,country,vpn_signals,tor_signals,public_feed_overlap,confidence,sources
200482,nexserv GmbH,NL,0,3,1,low,tor-radar-network
201308,Castlegem SRL,GB,0,1,2,low,"bad-cidrs-v4,tor-radar-network"
203446,SMARTNET LIMITED,DE,0,3,1,low,tor-radar-network
203476,GANDI SAS,FR,0,3,1,low,tor-radar-network
204615,IP Fiber Inc,SE,0,3,1,low,tor-radar-network
205090,FIRST SERVER LIMITED,RU,0,3,1,low,tor-radar-network
207143,hosttech GmbH,CH,0,3,1,low,tor-radar-network
207569,I-SERVERS LTD,CZ,0,3,1,low,tor-radar-network
209604,2E TELEKOMUNIKASYON LTD STI,US,0,3,1,low,tor-radar-network
210226,Windcloud 4.0 GmbH,DE,0,3,1,low,tor-radar-network
210329,CLOUDWEBMANAGE-UK-1,US,3,0,1,low,asn-vpn-multi-provider
210403,Groupe LWS SARL,FR,0,3,1,low,tor-radar-network
210644,AEZA GROUP LLC,RU,0,2,2,low,"spamhaus-asndrop,tor-radar-network"
212655,YouFibre Limited,GB,0,3,1,low,tor-radar-network
213250,Dominic Scholz trading as ITP-Solutions GmbH & Co. KG,DE,0,3,1,low,tor-radar-network
213887,WAIcore Ltd,DE,0,3,1,low,tor-radar-network
214668,AxusHost B.V.,NL,0,3,1,low,tor-radar-network
214719,LLC DZHIBIEN HOST,RU,0,3,1,low,tor-radar-network
215362,Promo Plus SRL,RO,0,3,1,low,tor-radar-network
215762,Bullet Group LTD,NL,0,3,1,low,tor-radar-network
264617,GRUPO PANAGLOBAL 15 S.A,CH,0,3,1,low,tor-radar-network
329007,"ELENDE - TECNOLOGIAS DE INFORMACAO - COMERCIO E SERVICOS, LDA",AO,0,1,3,low,"bad-cidrs-v4,spamhaus-asndrop,tor-radar-network"
398242,Prentiss County Electric Power Association,US,0,3,1,low,tor-radar-network
399471,AS-SERVERION,NL,2,0,2,low,"asn-vpn-multi-provider,spamhaus-asndrop"
400475,NUCLEARFALLOUT-DAL,US,2,1,2,low,"asn-vpn-multi-provider,tor-radar-network"
401736,Project Daylily,US,0,3,1,low,tor-radar-network
553,Universitaet Stuttgart,DE,0,2,1,low,tor-radar-network
786,Jisc Services Limited,GB,0,2,1,low,tor-radar-network
803,Saskatchewan Telecommunications,CA,0,2,1,low,tor-radar-network
1241,Nova Telecommunications & Media Single Member S.A,GR,0,2,1,low,tor-radar-network
1403,EBOX,CA,0,2,1,low,tor-radar-network
1680,Cellcom Fixed Line Communication L.P,IL,0,2,1,low,tor-radar-network
1835,Forskningsnettet - Danish network for Research and Education,DK,0,2,1,low,tor-radar-network
2611,BELNET,BE,0,2,1,low,tor-radar-network
2900,Arizona Tri University Network,US,0,2,1,low,tor-radar-network
3214,xTom GmbH,NL,0,2,1,low,tor-radar-network
3249,Telia Eesti AS,EE,0,2,1,low,tor-radar-network
3329,Vodafone-panafon Hellenic Telecommunications Company SA,GR,0,2,1,low,tor-radar-network
3741,IS,ZA,2,0,1,low,asn-vpn-multi-provider
3816,COLOMBIA TELECOMUNICACIONES S.A. ESP BIC,CO,0,2,1,low,tor-radar-network
